date_transformed,site_number,TSP,CM,SD,NO2,OZ,PM10,PM2.5
2021-02-20,1017,NA,0.588889,NA,15.590909,NA,NA,NA
2021-02-20,1022,NA,0.398979,0.0864584,12.25,0.0252895,NA,12.3
2021-02-21,1017,NA,0.377841,NA,8.5,NA,NA,3.4
2021-02-21,1022,NA,0.30322899999999997,0.059653,9.7708335,0.024459,15,7
2021-02-22,1017,NA,0.5650795,NA,24.409091,NA,NA,NA
2021-02-22,1022,NA,0.3923335,0.0768056,16.270833500000002,0.021985750000000002,NA,5.2
2021-02-23,1017,NA,0.663889,NA,26.454545,NA,NA,NA
2021-02-23,1022,NA,0.4595625,0.1181252,18.895833,0.02410025,NA,7.6
2021-02-24,1017,NA,0.536905,NA,21.409091,NA,NA,7.7
2021-02-24,1022,NA,0.4301775,0.0675536,14.9,0.02122325,21,8
2021-02-25,1017,NA,0.5781745,NA,19.727273,NA,NA,NA
2021-02-25,1022,NA,0.318441,0.06768880000000001,11.6466165,0.03315875,NA,10.6
2021-02-26,1017,NA,0.7023809999999999,NA,26,NA,NA,NA
2021-02-26,1022,NA,0.400952,0.13233520000000001,16.0714285,0.03553575,NA,11.7
2021-02-27,1017,NA,0.622222,NA,18.318182,NA,NA,12
2021-02-27,1022,NA,0.4015795,0.164172,12.5,0.04014025,37,14.3
2021-02-28,1017,NA,0.3007575,NA,5.954545,NA,NA,NA
2021-02-28,1022,NA,0.28934150000000003,0.0616354,8.595238,0.03326725,NA,9.2
2021-03-01,1017,NA,0.456349,NA,19.727273,NA,NA,NA
2021-03-01,1022,NA,0.35070650000000003,0.0842724,13.7380955,0.03025175,NA,5.7
2021-03-02,1017,NA,0.536111,NA,24.545455,NA,NA,4.6
2021-03-02,1022,NA,0.3837145,0.1215272,15.333333500000002,0.030317249999999997,21,6.6
2021-03-03,1017,NA,0.3452385,NA,12.590909,NA,NA,NA
2021-03-03,1022,NA,0.3,0.0202902,8.7936505,0.0346865,NA,5.5
2021-03-04,1017,NA,0.4611115,NA,13.590909,NA,NA,NA
2021-03-04,1022,NA,0.265897,0.0214852,7.385965000000001,0.036011749999999995,NA,3.7
2021-03-05,1017,NA,0.7210315,NA,22.272727,NA,NA,6.9
2021-03-05,1022,NA,0.41120650000000003,0.1024626,11.8809525,0.033815250000000005,19,8.2
2021-03-06,1017,NA,0.519841,NA,10.363636,NA,NA,NA
2021-03-06,1022,NA,0.27807899999999997,0.029952399999999997,4.3333335,0.039293,NA,6.6
2021-03-07,1017,NA,0.356061,NA,6.818182,NA,NA,NA
2021-03-07,1022,NA,0.200524,0.0051718,3.1904765,0.037075250000000004,NA,5.8
2021-03-08,1017,NA,0.3507935,NA,9.136364,NA,NA,6.1
2021-03-08,1022,NA,0.1992915,3.355e-4,4.5833335,0.034875,17,6.3
2021-03-09,1017,NA,0.39127,NA,11.045455,NA,NA,NA
2021-03-09,1022,NA,0.2254765,0.0031,5.690476,0.036803749999999996,NA,6.1
2021-03-10,1017,NA,0.38055550000000005,NA,10.681818,NA,NA,NA
2021-03-10,1022,NA,0.2063,0,3.6666665,0.040142750000000005,NA,4.8
2021-03-11,1017,NA,0.390873,NA,9.454545,NA,NA,2.2
2021-03-11,1022,NA,0.2398965,3.2659999999999997e-4,6,0.03707125,6,3.7
2021-03-12,1017,NA,0.4238095,NA,11.818182,NA,NA,NA
2021-03-12,1022,NA,0.241865,2.39e-4,4.595238,0.041373,NA,2.4
2021-03-13,1017,NA,0.4392855,NA,8.818182,NA,NA,NA
2021-03-13,1022,NA,0.240619,0.006359399999999999,4.7619045,0.036413,NA,8.7
2021-03-14,1017,NA,0.38863650000000005,NA,6.954545,NA,NA,8.3
2021-03-14,1022,NA,0.2138575,7.172000000000001e-4,3.1904765,0.040961,19,8.2
2021-03-15,1017,NA,0.293254,NA,7.136364,NA,NA,NA
2021-03-15,1022,NA,0.19388100000000003,0,2.8095235,0.042155,NA,4.5
2021-03-16,1017,NA,0.363095,NA,11.227273,NA,NA,NA
2021-03-16,1022,NA,0.22190500000000002,0.0011952,6.357143000000001,0.034523750000000006,NA,5.9
2021-03-17,1017,NA,0.4722225,NA,13.863636,NA,NA,5.6
2021-03-17,1022,NA,0.2831275,0.05558025,8.1764705,0.032975250000000005,16,6.2
2021-03-18,1017,NA,0.45779400000000003,NA,14.333333,NA,NA,NA
2021-03-18,1022,NA,0.284659,0.029793,6.9761904999999995,0.03914275,NA,6.7
